run_id,game_date,player_name,team_abbreviation,matchup,prop_type,market_family,market_profile,market_profile_label,side,line,price,proj,diff,diff_abs,diff_ratio,edge_pct,edge_score,model_mae,model_key,min_l5,candidate_basic,micro_line_final,line_min_ok,consistency_joya,main_eligible,radar_only,hit_l5,n_l5,hit_l10,n_l10,hr_l5,hr_l10,hr_text,quality,bucket
ludo_20260613_131701_d14022,2026-06-13,Dylan Harper,SAS,San Antonio Spurs @ New York Knicks,FGA,TECH,VOLUME_SAFE,Volumen seguro,OVER,7.5,1.11,10.6915559768677,3.19155597686768,3.19155597686768,1.1387027175922935,42.554079691569,1.13870271759229,2.8028,FGA,28.1799999237061,True,False,True,False,False,False,5,5,7,10,1.0,0.7,5/5 | 7/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Josh Hart,NYK,San Antonio Spurs @ New York Knicks,FGA,TECH,VOLUME_SAFE,Volumen seguro,UNDER,11.5,1.16,8.47926712036133,-3.02073287963867,3.02073287963867,1.0777554158836413,26.2672424316406,1.07775541588364,2.8028,FGA,27.6400005340576,True,False,True,False,False,False,5,5,7,10,1.0,0.7,5/5 | 7/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Dylan Harper,SAS,San Antonio Spurs @ New York Knicks,FGM,MAIN,SCORING_RESULT,Anotación / resultado,OVER,3.5,1.17,5.01238298416138,1.51238298416138,1.51238298416138,0.8525751080451999,43.2109424046108,0.852575108045198,1.7739,FGM,28.1799999237061,True,False,True,False,False,False,5,5,7,10,1.0,0.7,5/5 | 7/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Victor Wembanyama,SAS,San Antonio Spurs @ New York Knicks,STL+BLK,OTHER,DEFENSIVE_RISK,Defensivos volátiles,UNDER,5.5,1.56,3.63562917709351,-1.86437082290649,1.86437082290649,2.0415799637609395,33.8976513255726,2.04157996376094,0.9132,STL+BLK,37.4200000762939,True,False,True,False,False,True,4,5,9,10,0.8,0.9,4/5 | 9/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Jalen Brunson,NYK,San Antonio Spurs @ New York Knicks,FGM,MAIN,SCORING_RESULT,Anotación / resultado,OVER,6.5,1.13,9.53731155395508,3.03731155395508,3.03731155395508,1.7122225345031172,46.7278700608474,1.71222253450312,1.7739,FGM,36.4599994659424,True,False,True,False,False,False,4,5,9,10,0.8,0.9,4/5 | 9/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Julian Champagnie,SAS,San Antonio Spurs @ New York Knicks,FGM,MAIN,SCORING_RESULT,Anotación / resultado,UNDER,5.5,1.12,3.85957813262939,-1.64042186737061,1.64042186737061,0.9247544209767236,29.825852134011,0.924754420976721,1.7739,FGM,31.3000003814697,True,False,True,False,False,False,4,5,8,10,0.8,0.8,4/5 | 8/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Dylan Harper,SAS,San Antonio Spurs @ New York Knicks,PRA,MAIN,COMBO_TOTAL,Combinadas estadísticas,UNDER,27.5,1.43,21.9694194793701,-5.53058052062988,5.53058052062988,0.9086038082817001,20.1112018931996,0.908603808281701,6.0869,PRA,28.1799999237061,True,False,True,False,False,False,4,5,8,10,0.8,0.8,4/5 | 8/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Stephon Castle,SAS,San Antonio Spurs @ New York Knicks,FGA,TECH,VOLUME_SAFE,Volumen seguro,UNDER,15.5,1.15,13.0034627914429,-2.49653720855713,2.49653720855713,0.8907297019256207,16.1066916681105,0.89072970192562,2.8028,FGA,33.5400005340576,True,False,True,False,False,False,4,5,8,10,0.8,0.8,4/5 | 8/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Dylan Harper,SAS,San Antonio Spurs @ New York Knicks,PA,MAIN,COMBO_TOTAL,Combinadas estadísticas,UNDER,20.5,1.5,16.1811561584473,-4.31884384155273,4.31884384155273,0.8509869444055743,21.0675309344036,0.850986944405575,5.0751,PA,28.1799999237061,True,False,True,False,False,False,4,5,8,10,0.8,0.8,4/5 | 8/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Victor Wembanyama,SAS,San Antonio Spurs @ New York Knicks,FTA,TECH,VOLUME_SAFE,Volumen seguro,UNDER,9.5,1.65,7.06747007369995,-2.43252992630005,2.43252992630005,1.5104190787333438,25.6055781715795,1.51041907873334,1.6105,FTA,37.4200000762939,True,False,True,False,False,False,4,5,7,10,0.8,0.7,4/5 | 7/10,RADAR,RADAR
