game_id,team_id,team_abbreviation,team_name,season,season_type,wl,minutes,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,turnovers,pf,pts,plus_minus,updated_at
1022400046,1611661313,NYL,Liberty,2024,Regular Season,,200:00,38,66,0.576,11,25,0.44,17,20,0.85,6,33,39,30,9,6,13,15,104,36.0,2026-05-21T18:53:57.567413
1022400046,1611661325,IND,Fever,2024,Regular Season,,200:00,27,73,0.37,7,28,0.25,7,11,0.636,9,19,28,18,6,1,12,17,68,-36.0,2026-05-21T18:53:57.567413
1022400048,1611661317,PHO,Mercury,2024,Regular Season,,200:00,28,66,0.424,14,29,0.483,17,20,0.85,7,26,33,20,11,5,14,18,87,19.0,2026-05-21T18:53:57.567413
1022400048,1611661320,LAS,Sparks,2024,Regular Season,,200:00,24,60,0.4,9,23,0.391,11,15,0.733,6,24,30,18,5,2,18,23,68,-19.0,2026-05-21T18:53:57.567413
1022400047,1611661324,MIN,Lynx,2024,Regular Season,,200:00,32,71,0.451,8,19,0.421,15,17,0.882,10,17,27,23,15,6,15,17,87,11.0,2026-05-21T18:53:57.567413
1022400047,1611661321,DAL,Wings,2024,Regular Season,,200:00,30,65,0.462,4,11,0.364,12,14,0.857,8,26,34,20,12,3,25,14,76,-11.0,2026-05-21T18:53:57.567413
1022400045,1611661323,CON,Sun,2024,Regular Season,,200:00,28,66,0.424,6,18,0.333,7,13,0.538,7,38,45,22,4,3,15,17,69,19.0,2026-05-21T18:53:57.567413
1022400045,1611661330,ATL,Dream,2024,Regular Season,,200:00,19,67,0.284,3,16,0.188,9,12,0.75,8,25,33,10,10,6,12,16,50,-19.0,2026-05-21T18:53:57.567413
1022400050,1611661313,NYL,Liberty,2024,Regular Season,,200:00,34,78,0.436,10,32,0.313,10,12,0.833,10,32,42,24,7,4,10,22,88,13.0,2026-05-21T18:53:57.567413
1022400050,1611661329,CHI,Sky,2024,Regular Season,,200:00,24,74,0.324,2,7,0.286,25,28,0.893,12,30,42,15,5,4,10,17,75,-13.0,2026-05-21T18:53:57.567413
1022400051,1611661328,SEA,Storm,2024,Regular Season,,200:00,28,69,0.406,8,23,0.348,16,21,0.762,8,34,42,20,10,4,14,15,80,18.0,2026-05-21T18:53:57.567413
1022400051,1611661317,PHO,Mercury,2024,Regular Season,,200:00,23,68,0.338,4,23,0.174,12,17,0.706,3,30,33,13,7,4,13,15,62,-18.0,2026-05-21T18:53:57.567413
1022400049,1611661322,WAS,Mystics,2024,Regular Season,,200:00,20,64,0.313,6,29,0.207,13,15,0.867,13,24,37,13,4,3,16,21,59,-17.0,2026-05-21T18:53:57.567413
1022400049,1611661323,CON,Sun,2024,Regular Season,,200:00,27,57,0.474,6,15,0.4,16,27,0.593,6,25,31,22,7,4,12,15,76,17.0,2026-05-21T18:53:57.567413
