Fecha_Partido,Partido,Jugador,Equipo,Stat,Linea,Over,Under
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,ASSISTS,4.5,2.35,1.43
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,ASSISTS,2.5,1.3,2.79
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,POINTS,6.5,1.83,1.84
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,POINTS,7.5,2.1,1.54
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,POINTS,4.5,1.39,2.46
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,POINTS,8.5,2.39,1.42
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,POINTS,9.5,2.83,1.3
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,REBOUNDS,2.5,2.07,1.65
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,REBOUNDS,1.5,1.42,2.38
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,THREESMADE,0.5,1.46,2.46
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,THREESMADE,1.5,2.69,1.33
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,POINTS+REBOUNDS,8.5,1.73,1.95
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,POINTS+REBOUNDS,9.5,1.91,1.66
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,POINTS+REBOUNDS,7.5,1.55,2.09
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,POINTS+REBOUNDS,10.5,2.14,1.52
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,POINTS+ASSISTS,8.5,1.91,1.77
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,POINTS+ASSISTS,9.5,2.05,1.57
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,POINTS+ASSISTS,7.5,1.62,1.97
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,PRA,10.5,1.8,1.87
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,PRA,11.5,1.95,1.63
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,PRA,8.5,1.45,2.29
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,PRA,12.5,2.14,1.52
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,PRA,13.5,2.48,1.38
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,PRA,7.5,1.32,2.74
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,ASSISTS+REBOUNDS,3.5,1.61,2.13
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,ASSISTS+REBOUNDS,4.5,2.1,1.54
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,ASSISTS,1.5,1.83,1.84
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,POINTS,7.5,1.93,1.75
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,POINTS,8.5,2.07,1.56
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,POINTS,6.5,1.7,1.87
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,POINTS,9.5,2.33,1.44
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,POINTS,5.5,1.5,2.19
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,POINTS,10.5,2.75,1.31
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,POINTS,4.5,1.4,2.44
