partido,partido_original,fecha,fecha_hora,equipo_local,equipo_visitante,equipo,jugador,mercado,linea,tipo,cuota,fuente,fixture_id
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,25.5,Debajo,1.89,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,26.5,Sobre,1.88,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,26.5,Debajo,1.69,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,23.5,Sobre,1.55,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,23.5,Debajo,2.09,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,27.5,Sobre,2.02,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,27.5,Debajo,1.59,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,22.5,Sobre,1.44,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,22.5,Debajo,2.31,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,28.5,Sobre,2.13,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,28.5,Debajo,1.52,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,21.5,Sobre,1.36,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,21.5,Debajo,2.58,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,29.5,Sobre,2.37,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,29.5,Debajo,1.42,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,20.5,Sobre,1.29,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,20.5,Debajo,2.88,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,30.5,Sobre,2.62,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,30.5,Debajo,1.34,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Rebotes,13.5,Sobre,1.90,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Rebotes,13.5,Debajo,1.77,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Rebotes,14.5,Sobre,2.11,dom_alt,
